id,type,value,fractional,currencyFk
1,coin,0.01,1,4
2,coin,0.02,1,4
3,coin,0.05,1,4
4,coin,0.1,1,4
5,coin,0.2,1,4
6,coin,0.5,1,4
7,coin,1,0,4
8,coin,2,0,4
9,banknote,5,0,4
10,banknote,10,0,4
11,banknote,20,0,4
12,banknote,50,0,4
13,banknote,100,0,4
14,banknote,200,0,4
15,banknote,500,0,4
16,coin,1,0,1
17,coin,2,0,1
18,coin,3,0,1
19,coin,5,0,1
20,coin,10,0,1
21,coin,20,0,1
22,coin,25,0,1
23,coin,50,0,1
24,coin,100,0,1
25,banknote,10,0,1
26,banknote,25,0,1
27,banknote,50,0,1
28,banknote,100,0,1
29,banknote,500,0,1
30,coin,1,0,2
31,coin,2,0,2
32,coin,5,0,2
33,coin,10,0,2
34,banknote,10,0,1
35,banknote,25,0,1
36,banknote,50,0,1
37,banknote,100,0,1
38,banknote,500,0,1
39,coin,1,0,2
40,coin,2,0,2
41,coin,5,0,2
42,coin,10,0,2
43,banknote,5,0,2
44,banknote,10,0,2
45,banknote,50,0,2
46,banknote,100,0,2
47,banknote,200,0,2
48,banknote,500,0,2
49,coin,1,0,2
50,coin,2,0,2
51,coin,5,0,2
52,coin,10,0,2
53,banknote,5,0,2
54,banknote,10,0,2
55,banknote,50,0,2
56,banknote,100,0,2
57,banknote,200,0,2
58,banknote,500,0,2
59,banknote,1000,0,2
60,banknote,2000,0,2
61,banknote,5000,0,2
62,coin,0.25,1,3
63,coin,0.5,1,3
64,coin,1,0,3
65,coin,2,0,3
66,coin,5,0,3
67,banknote,10,0,3
68,banknote,20,0,3
69,banknote,50,0,3
70,banknote,100,0,3
71,banknote,500,0,3
72,banknote,1000,0,3
91,coin,0.01,1,5
92,coin,0.05,1,5
93,coin,0.1,1,5
94,coin,0.2,1,5
95,coin,0.5,1,5
96,coin,1,0,5
97,coin,5,0,5
98,coin,10,0,5
99,coin,20,0,5
100,coin,50,0,5
101,coin,100,0,5
102,banknote,100,0,5
103,banknote,200,0,5
104,banknote,500,0,5
105,banknote,1000,0,5
106,banknote,2000,0,5
107,banknote,5000,0,5
108,banknote,10000,0,5
109,coin,0.01,1,6
110,coin,0.02,1,6
111,coin,0.05,1,6
112,coin,0.1,1,6
113,coin,0.2,1,6
114,coin,0.5,1,6
115,coin,1,0,6
116,coin,2,0,6
117,coin,5,0,6
118,coin,10,0,6
119,coin,20,0,6
120,coin,50,0,6
121,coin,100,0,6
122,coin,200,0,6
123,banknote,500,0,6
124,banknote,1000,0,6
125,banknote,2000,0,6
148,coin,0.5,1,7
149,coin,1,0,7
150,coin,5,0,7
151,coin,10,0,7
152,coin,20,0,7
153,coin,50,0,7
154,coin,100,0,7
155,banknote,200,0,7
156,banknote,500,0,7
157,banknote,1000,0,7
158,banknote,2000,0,7
159,banknote,5000,0,7
160,coin,0.05,1,8
161,coin,0.1,1,8
162,coin,0.25,1,8
163,coin,1,0,8
164,banknote,2,0,8
165,banknote,5,0,8
166,banknote,10,0,8
167,banknote,20,0,8
168,banknote,50,0,8
169,banknote,100,0,8
170,coin,0.01,1,9
171,coin,0.05,1,9
172,coin,0.1,1,9
173,coin,0.25,1,9
174,coin,0.5,1,9
175,coin,1,0,9
176,coin,2,0,9
177,coin,5,0,9
178,coin,10,0,9
179,banknote,10,0,9
180,banknote,20,0,9
181,banknote,50,0,9
182,banknote,100,0,9
183,banknote,200,0,9
184,banknote,500,0,9
185,banknote,1000,0,9
186,banknote,2000,0,9
187,banknote,10000,0,9
188,banknote,20000,0,9
189,coin,0.1,1,10
190,coin,0.2,1,10
191,coin,0.5,1,10
192,coin,1,0,10
193,coin,3,0,10
194,coin,5,0,10
195,coin,10,0,10
196,coin,20,0,10
197,coin,50,0,10
198,coin,100,0,10
199,coin,200,0,10
200,coin,500,0,10
201,banknote,1000,0,10
202,banknote,2000,0,10
203,banknote,5000,0,10
204,banknote,10000,0,10
205,banknote,20000,0,10
206,banknote,50000,0,10
207,banknote,100000,0,10
208,coin,0.05,1,11
209,coin,0.1,1,11
210,coin,0.25,1,11
211,coin,0.5,1,11
212,coin,1,0,11
213,coin,5,0,11
214,banknote,10,0,11
215,banknote,25,0,11
216,banknote,50,0,11
217,banknote,100,0,11
218,banknote,200,0,11
219,coin,0.01,1,13
220,coin,0.02,1,13
221,coin,0.05,1,13
222,coin,0.1,1,13
223,coin,0.2,1,13
224,coin,0.5,1,13
225,coin,1,0,13
226,coin,2,0,13
227,banknote,5,0,13
228,banknote,10,0,13
229,banknote,20,0,13
230,coin,0.01,1,14
231,coin,0.02,1,14
232,coin,0.05,1,14
233,coin,0.1,1,14
234,coin,0.2,1,14
235,coin,0.5,1,14
236,coin,1,0,14
237,coin,2,0,14
238,banknote,1,0,14
239,banknote,2,0,14
240,banknote,5,0,14
241,banknote,10,0,14
242,banknote,20,0,14
243,banknote,50,0,14
244,banknote,100,0,14
259,coin,0.01,1,16
260,coin,0.03,1,16
261,coin,0.05,1,16
262,coin,0.1,1,16
263,coin,0.2,1,16
264,coin,0.5,1,16
265,banknote,1,0,16
266,banknote,5,0,16
267,banknote,10,0,16
268,banknote,20,0,16
269,banknote,50,0,16
270,banknote,100,0,16
271,banknote,200,0,16
272,banknote,500,0,16
273,coin,0.05,1,17
274,coin,0.1,1,17
275,coin,0.15,1,17
276,coin,0.25,1,17
277,coin,0.5,1,17
278,coin,1,0,17
279,coin,2,0,17
280,banknote,0.5,0,17
281,banknote,1,0,17
282,banknote,3,0,17
283,banknote,5,0,17
284,banknote,10,0,17
285,banknote,20,0,17
286,banknote,50,0,17
287,banknote,100,0,17
288,coin,0.005,1,18
289,coin,0.01,1,18
290,coin,0.025,1,18
291,coin,0.05,1,18
292,coin,0.1,1,18
293,coin,0.5,1,18
294,banknote,0.5,1,18
295,banknote,1,0,18
296,banknote,5,0,18
297,banknote,10,0,18
298,banknote,20,0,18
299,coin,0.01,1,19
300,coin,0.02,1,19
301,coin,0.05,1,19
302,coin,0.1,1,19
303,coin,0.2,1,19
304,coin,0.5,1,19
305,coin,2,0,19
306,banknote,1,0,19
307,banknote,5,0,19
308,banknote,10,0,19
309,banknote,20,0,19
310,banknote,50,0,19
311,coin,0.01,1,20
312,coin,0.02,1,20
313,coin,0.05,1,20
314,coin,0.1,1,20
315,coin,0.2,1,20
316,coin,0.5,1,20
317,coin,1,0,20
318,coin,2,0,20
319,banknote,1,0,20
320,banknote,5,0,20
321,banknote,10,0,20
322,banknote,20,0,20
323,banknote,50,0,20
324,banknote,100,0,20
325,coin,1,0,21
326,coin,2,0,21
327,coin,5,0,21
328,banknote,1,0,21
329,banknote,2,0,21
330,banknote,5,0,21
331,banknote,10,0,21
332,banknote,20,0,21
333,banknote,50,0,21
334,banknote,100,0,21
335,banknote,200,0,21
336,banknote,500,0,21
337,banknote,1000,0,21
338,coin,0.05,1,22
339,coin,0.1,1,22
340,coin,0.25,1,22
341,coin,1,0,22
342,banknote,2,0,22
343,banknote,5,0,22
344,banknote,10,0,22
345,banknote,20,0,22
346,banknote,50,0,22
347,banknote,100,0,22
348,coin,0.01,1,23
349,coin,0.02,1,23
350,coin,0.05,1,23
351,coin,0.1,1,23
352,coin,0.2,1,23
353,coin,0.5,1,23
354,coin,1,0,23
355,coin,2,0,23
356,banknote,5,0,23
357,banknote,10,0,23
358,banknote,20,0,23
359,banknote,50,0,23
360,banknote,100,0,23
361,banknote,200,0,23
362,banknote,500,0,23
363,coin,0.01,1,24
364,coin,0.05,1,24
365,coin,0.1,1,24
366,coin,0.25,1,24
367,coin,0.5,1,24
368,coin,1,0,24
369,banknote,2,0,24
370,banknote,5,0,24
371,banknote,10,0,24
372,banknote,20,0,24
373,banknote,50,0,24
374,banknote,100,0,24
375,coin,1,0,25
376,coin,5,0,25
377,coin,10,0,25
378,coin,25,0,25
379,coin,50,0,25
380,coin,100,0,25
381,coin,200,0,25
382,coin,250,0,25
383,coin,500,0,25
384,banknote,500,0,25
385,banknote,1000,0,25
386,banknote,2000,0,25
387,banknote,5000,0,25
388,banknote,10000,0,25
389,coin,0.01,1,26
390,coin,0.05,1,26
391,coin,0.1,1,26
392,coin,0.25,1,26
393,coin,1,0,26
394,banknote,2,0,26
395,banknote,5,0,26
396,banknote,10,0,26
397,banknote,20,0,26
398,banknote,50,0,26
399,banknote,100,0,26
400,coin,0.05,1,27
401,coin,0.1,1,27
402,coin,0.25,1,27
403,coin,0.5,1,27
404,coin,1,0,27
405,coin,3,0,27
406,banknote,1,0,27
407,banknote,5,0,27
408,banknote,10,0,27
409,banknote,20,0,27
410,banknote,50,0,27
411,banknote,100,0,27
412,banknote,500,0,27
413,banknote,1000,0,27
414,coin,1,0,28
415,coin,2,0,28
416,coin,5,0,28
417,coin,10,0,28
418,coin,20,0,28
419,banknote,1,0,28
420,banknote,2,0,28
421,banknote,5,0,28
422,banknote,10,0,28
423,banknote,20,0,28
424,banknote,50,0,28
425,banknote,100,0,28
426,banknote,200,0,28
427,banknote,500,0,28
428,coin,0.1,1,29
429,coin,0.2,1,29
430,coin,0.5,1,29
431,coin,1,0,29
432,coin,2,0,29
433,coin,5,0,29
434,banknote,10,0,29
435,banknote,20,0,29
436,banknote,50,0,29
437,banknote,100,0,29
438,banknote,200,0,29
439,coin,0.01,1,30
440,coin,0.05,1,30
441,coin,0.1,1,30
442,coin,0.25,1,30
443,coin,0.5,0,30
444,coin,1,0,30
445,banknote,1,0,30
446,banknote,2,0,30
447,banknote,5,0,30
448,banknote,10,0,30
449,banknote,20,0,30
450,banknote,50,0,30
451,banknote,100,0,30
452,coin,0.05,1,31
453,coin,0.1,1,31
454,coin,0.2,1,31
455,coin,0.5,1,31
456,coin,1,0,31
457,coin,2,0,31
458,coin,5,0,31
459,banknote,10,0,31
460,banknote,20,0,31
461,banknote,50,0,31
462,banknote,100,0,31
463,banknote,200,0,31
464,coin,0.05,1,32
465,coin,0.1,1,32
466,coin,0.25,1,32
467,coin,0.5,1,32
468,coin,1,0,32
469,coin,2,0,32
470,coin,5,0,32
471,banknote,10,0,32
472,banknote,20,0,32
473,banknote,50,0,32
474,banknote,100,0,32
475,banknote,200,0,32
476,coin,0.05,1,33
477,coin,0.1,1,33
478,coin,0.25,1,33
479,coin,0.5,1,33
480,coin,1,0,33
481,banknote,2,0,33
482,banknote,5,0,33
483,banknote,10,0,33
484,banknote,20,0,33
485,banknote,50,0,33
486,banknote,100,0,33
487,banknote,200,0,33
488,coin,0.01,1,34
489,coin,0.05,1,34
490,coin,0.1,1,34
491,coin,0.2,1,34
492,coin,0.5,1,34
493,banknote,1,0,34
494,banknote,5,0,34
495,banknote,10,0,34
496,banknote,50,0,34
497,banknote,100,0,34
498,banknote,500,0,34
499,banknote,1000,0,34
500,coin,0.01,1,35
501,coin,0.05,1,35
502,coin,0.1,1,35
503,coin,0.2,1,35
504,coin,0.5,1,35
505,coin,1,0,35
506,banknote,2,0,35
507,banknote,5,0,35
508,banknote,10,0,35
509,banknote,50,0,35
510,banknote,100,0,35
511,coin,0.01,1,36
512,coin,0.02,1,36
513,coin,0.05,1,36
514,coin,0.1,1,36
515,coin,0.2,1,36
516,coin,0.5,1,36
517,coin,1,0,36
518,coin,2,0,36
519,banknote,5,0,36
520,banknote,10,0,36
521,banknote,20,0,36
522,banknote,50,0,36
523,banknote,100,0,36
524,coin,1,0,37
525,coin,5,0,37
526,coin,10,0,37
527,coin,50,0,37
528,banknote,100,0,37
529,banknote,500,0,37
530,banknote,1000,0,37
531,banknote,2000,0,37
532,banknote,5000,0,37
533,banknote,10000,0,37
534,coin,50,0,38
535,coin,100,0,38
536,coin,200,0,38
537,coin,500,0,38
538,banknote,100,0,38
539,banknote,200,0,38
540,banknote,500,0,38
541,banknote,1000,0,38
542,banknote,2000,0,38
543,banknote,5000,0,38
544,banknote,10000,0,38
545,banknote,20000,0,38
546,banknote,50000,0,38
547,banknote,200000,0,38
548,coin,1,0,39
549,coin,2,0,39
550,coin,5,0,39
551,coin,10,0,39
552,coin,25,0,39
553,coin,50,0,39
554,coin,100,0,39
555,coin,200,0,39
556,coin,500,0,39
557,banknote,500,0,39
558,banknote,1000,0,39
559,banknote,2000,0,39
560,banknote,5000,0,39
561,banknote,10000,0,39
562,coin,0.01,1,40
563,coin,0.05,1,40
564,coin,0.1,1,40
565,coin,0.25,1,40
566,coin,0.5,1,40
567,coin,1,0,40
568,coin,2,0,40
569,banknote,5,0,40
570,banknote,10,0,40
571,banknote,20,0,40
572,banknote,50,0,40
573,banknote,100,0,40
574,coin,1,0,41
575,coin,5,0,41
576,coin,10,0,41
577,coin,20,0,41
578,coin,50,0,41
579,coin,100,0,41
580,coin,200,0,41
581,coin,250,0,41
582,banknote,200,0,41
583,banknote,500,0,41
584,banknote,1000,0,41
585,banknote,2000,0,41
586,banknote,5000,0,41
587,coin,0.01,1,42
588,coin,0.05,1,42
589,coin,0.1,1,42
590,coin,0.25,1,42
591,banknote,1,0,42
592,banknote,5,0,42
593,banknote,10,0,42
594,banknote,25,0,42
595,banknote,50,0,42
596,banknote,100,0,42
597,coin,10,0,43
598,coin,50,0,43
599,coin,100,0,43
600,coin,500,0,43
601,banknote,1000,0,43
602,banknote,2000,0,43
603,banknote,5000,0,43
604,banknote,10000,0,43
605,banknote,20000,0,43
606,coin,0.01,1,44
607,coin,0.02,1,44
608,coin,0.05,1,44
609,coin,0.1,1,44
610,coin,0.5,1,44
611,coin,1,0,44
612,banknote,0.1,1,44
613,banknote,0.5,1,44
614,banknote,1,0,44
615,banknote,5,0,44
616,banknote,10,0,44
617,banknote,20,0,44
618,banknote,50,0,44
619,banknote,100,0,44
620,coin,50,0,45
621,coin,100,0,45
622,coin,200,0,45
623,coin,500,0,45
624,coin,1000,0,45
625,banknote,1000,0,45
626,banknote,2000,0,45
627,banknote,5000,0,45
628,banknote,10000,0,45
629,banknote,20000,0,45
630,banknote,50000,0,45
631,banknote,100000,0,45
632,coin,1,0,46
633,coin,2,0,46
634,coin,5,0,46
635,coin,10,0,46
636,coin,25,0,46
637,coin,50,0,46
638,coin,100,0,46
639,coin,250,0,46
640,banknote,500,0,46
641,banknote,1000,0,46
642,banknote,2000,0,46
643,banknote,5000,0,46
644,banknote,10000,0,46
645,banknote,0.01,1,47
646,banknote,0.05,1,47
647,banknote,0.1,1,47
648,banknote,0.2,1,47
649,banknote,0.5,1,47
650,banknote,20,0,47
651,banknote,50,0,47
652,banknote,100,0,47
653,banknote,200,0,47
654,banknote,500,0,47
655,banknote,1000,0,47
656,banknote,5000,0,47
657,banknote,10000,0,47
658,banknote,20000,0,47
659,coin,0.1,1,48
660,coin,0.2,1,48
661,coin,0.5,1,48
662,coin,1,0,48
663,coin,2,0,48
664,coin,5,0,48
665,banknote,3,0,48
666,banknote,10,0,48
667,banknote,20,0,48
668,banknote,50,0,48
669,coin,0.1,1,49
670,coin,0.2,1,49
671,coin,0.5,1,49
672,coin,1,0,49
673,coin,2,0,49
674,banknote,5,0,49
675,banknote,10,0,49
676,banknote,20,0,49
677,banknote,50,0,49
678,banknote,100,0,49
679,coin,5,0,50
680,coin,10,0,50
681,coin,25,0,50
682,coin,50,0,50
683,coin,100,0,50
684,coin,500,0,50
685,coin,5,0,50
686,coin,10,0,50
687,coin,25,0,50
688,coin,50,0,50
689,coin,100,0,50
690,coin,500,0,50
691,banknote,1000,0,50
692,banknote,2000,0,50
693,banknote,5000,0,50
694,banknote,10000,0,50
695,banknote,20000,0,50
696,banknote,50000,0,50
697,coin,0.01,1,51
698,coin,0.02,1,51
699,coin,0.05,1,51
700,coin,0.2,1,51
701,coin,1,0,51
702,coin,3,0,51
703,coin,5,0,51
704,banknote,1,0,51
705,banknote,3,0,51
706,banknote,5,0,51
707,banknote,10,0,51
708,banknote,20,0,51
709,banknote,50,0,51
710,banknote,100,0,51
711,banknote,200,0,51
712,banknote,500,0,51
713,banknote,1000,0,51
714,coin,0.01,1,52
715,coin,0.05,1,52
716,coin,0.1,1,52
717,coin,0.25,1,52
718,coin,0.5,1,52
719,coin,1,0,52
720,coin,5,0,52
721,banknote,10,0,52
722,banknote,20,0,52
723,banknote,50,0,52
724,banknote,100,0,52
725,banknote,200,0,52
726,coin,1,0,53
727,coin,2,0,53
728,coin,5,0,53
729,coin,10,0,53
730,coin,20,0,53
731,coin,50,0,53
732,banknote,100,0,53
733,banknote,200,0,53
734,banknote,500,0,53
735,banknote,1000,0,53
736,banknote,2000,0,53
737,banknote,5000,0,53
738,coin,0.5,1,54
739,coin,1,0,54
740,coin,2,0,54
741,coin,5,0,54
742,coin,10,0,54
743,coin,20,0,54
744,banknote,50,0,54
745,banknote,100,0,54
746,banknote,200,0,54
747,banknote,500,0,54
748,coin,1,0,55
749,coin,2,0,55
750,coin,5,0,55
751,coin,10,0,55
752,coin,20,0,55
753,coin,50,0,55
754,coin,100,0,55
755,coin,250,0,55
756,coin,500,0,55
757,banknote,40,0,55
758,banknote,1000,0,55
759,banknote,2000,0,55
760,banknote,5000,0,55
761,banknote,10000,0,55
762,coin,1,0,56
763,coin,5,0,56
764,coin,10,0,56
765,coin,25,0,56
766,banknote,50,0,56
767,banknote,100,0,56
768,banknote,200,0,56
769,banknote,500,0,56
770,banknote,1000,0,56
771,banknote,2000,0,56
772,coin,0.25,1,57
773,coin,0.5,1,57
774,coin,1,0,57
775,banknote,1,0,57
776,banknote,5,0,57
777,banknote,10,0,57
778,banknote,20,0,57
779,banknote,50,0,57
780,banknote,100,0,57
781,banknote,200,0,57
782,coin,0.01,1,58
783,coin,0.05,1,58
784,coin,0.1,1,58
785,coin,0.25,1,58
786,coin,0.5,1,58
787,coin,1,0,58
788,banknote,1,0,58
789,banknote,5,0,58
790,banknote,10,0,58
791,banknote,20,0,58
792,banknote,50,0,58
793,banknote,100,0,58
794,coin,0.1,1,59
795,coin,0.2,1,59
796,coin,0.5,1,59
797,coin,1,0,59
798,coin,2,0,59
799,coin,5,0,59
800,banknote,10,0,59
801,banknote,20,0,59
802,banknote,50,0,59
803,banknote,100,0,59
804,banknote,200,0,59
805,coin,0.01,1,60
806,coin,0.02,1,60
807,coin,0.05,1,60
808,coin,0.1,1,60
809,coin,0.2,1,60
810,coin,0.5,1,60
811,coin,1,0,60
812,coin,2,0,60
813,coin,5,0,60
814,banknote,10,0,60
